"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"admin";"func_grant_tab";"func_grant_id";"integer";null;"NO";"nextval(('admin.func_grant_tab_func_grant_id_seq'::text)::regclass)";"null"
"admin";"func_grant_tab";"func_id";"integer";null;"NO";"null";"null"
"admin";"func_grant_tab";"grant_id";"integer";null;"NO";"null";"null"
"admin";"func_grant_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"func_tab";"func_id";"integer";null;"NO";"nextval(('admin.func_tab_func_id_seq'::text)::regclass)";"null"
"admin";"func_tab";"schema_name";"character varying";100;"NO";"null";"null"
"admin";"func_tab";"func_name";"character varying";100;"NO";"null";"null"
"admin";"func_tab";"comments";"character varying";100;"YES";"null";"null"
"admin";"func_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"func_tab";"is_active";"integer";null;"NO";"1";"null"
"admin";"grant_tab";"grant_id";"integer";null;"NO";"nextval(('admin.grant_tab_grant_id_seq'::text)::regclass)";"Идентификатор доступа"
"admin";"grant_tab";"grant_pid";"integer";null;"YES";"null";"Идентификтор родителя"
"admin";"grant_tab";"grant_name";"character varying";250;"NO";"null";"Наименование доступа"
"admin";"grant_tab";"order_num";"integer";null;"YES";"null";"Порядковый номер в списке"
"admin";"grant_tab";"grant_code";"character varying";150;"NO";"null";"Код доступа"
"admin";"grant_tab";"is_active";"integer";null;"NO";"1";"Признак активности. 0 - не активный, 1 - активный. По умолчанию 1"
"admin";"grant_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"grant_tab";"last_checked";"timestamp without time zone";null;"YES";"null";"Время, когда последний раз запрашивалось право"
"admin";"grant_tab";"child_cnt";"integer";null;"NO";"0";"Кол-во дочерних записей"
"admin";"grant_tab";"module_id";"integer";null;"NO";"null";"null"
"admin";"grant_tab";"is_super_grant";"boolean";null;"YES";"null";"null"
"admin";"grant_tab";"user_right_id";"integer";null;"YES";"null";"null"
"admin";"grant_tab";"script_info";"character varying";null;"YES";"null";"null"
"admin";"grant_tab";"is_can_be_parent";"boolean";null;"NO";"false";"null"
"admin";"group_grant_tab";"group_grant_id";"integer";null;"NO";"nextval(('admin.group_grant_tab_group_grant_id_seq'::text)::regclass)";"Идентификатор группы доступа"
"admin";"group_grant_tab";"group_id";"integer";null;"NO";"null";"Идентификатор группы"
"admin";"group_grant_tab";"grant_id";"integer";null;"NO";"null";"Идентификатор доступа"
"admin";"group_grant_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"group_grant_tab";"company_id";"integer";null;"NO";"1";"null"
"admin";"group_menu_tab";"group_menu_id";"integer";null;"NO";"nextval(('admin.group_menu_tab_group_menu_id_seq'::text)::regclass)";"Идентификатор"
"admin";"group_menu_tab";"group_id";"integer";null;"YES";"null";"Идентификатор группы"
"admin";"group_menu_tab";"menu_id";"integer";null;"YES";"null";"Идентификатор меню"
"admin";"group_menu_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"group_menu_tab";"company_id";"integer";null;"NO";"1";"null"
"admin";"group_tab";"group_id";"integer";null;"NO";"nextval(('admin.group_tab_group_id_seq'::text)::regclass)";"Идентификатор группы"
"admin";"group_tab";"group_name";"character varying";250;"NO";"null";"Наименование группы"
"admin";"group_tab";"group_code";"character varying";50;"NO";"null";"Код группы"
"admin";"group_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"group_tab";"module_id";"integer";null;"NO";"null";"null"
"admin";"group_tab";"is_active";"boolean";null;"NO";"true";"null"
"admin";"group_tab";"comments";"text";null;"YES";"null";"null"
"admin";"login_audit_tab";"login_audit_id";"integer";null;"NO";"nextval('admin.login_audit_tab_login_audit_id_seq'::regclass)";"null"
"admin";"login_audit_tab";"email";"character varying";200;"YES";"null";"null"
"admin";"login_audit_tab";"finger";"character varying";50;"YES";"null";"null"
"admin";"login_audit_tab";"ip";"character varying";40;"YES";"null";"null"
"admin";"login_audit_tab";"server_info";"text";null;"YES";"null";"null"
"admin";"login_audit_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"login_audit_tab";"is_valid";"integer";null;"YES";"null";"null"
"admin";"login_audit_tab";"module_id";"integer";null;"YES";"null";"null"
"admin";"login_audit_tab";"module_code";"character varying";40;"YES";"null";"null"
